time_s,roll_sensor1,pitch_sensor1,emg_rms_sensor1,roll_sensor2,pitch_sensor2,emg_rms_sensor2,roll_sensor3,pitch_sensor3,emg_rms_sensor3
256.162162,108.757089195993,0.5159074003322595,0.004362494513960024,94.20006643423064,1.109545629069544,0.0038479151655459523,76.60890385784514,-4.623911816784652,0.014228598664368142
256.175676,108.96694672737321,0.5372919589273742,0.004362494513960024,93.9062920583197,1.2286970600963367,0.0038479151655459523,76.47421243350637,-4.831925823535501,0.014228598664368142
256.189189,109.16065405768828,0.5402216892018546,0.003353543571544882,93.60009157531717,1.3505807393597846,0.0034496792355764995,76.33616083126552,-5.044444681870836,0.018195710466168694
256.202703,109.33414069294345,0.5285889777885804,0.003353543571544882,93.28756559373042,1.4706214666214705,0.0034496792355764995,76.19480011496879,-5.2658851714244905,0.018195710466168694
256.216216,109.48437104280389,0.5086243064645176,0.0034588206131612015,92.97356906836193,1.584527783229242,0.003442442212301218,76.04903577330711,-5.502457182782879,0.017298843416998964
256.22973,109.60957123935971,0.48701872717345746,0.0034588206131612015,92.6596394643391,1.689568885343077,0.003442442212301218,75.89818287593525,-5.758149400141804,0.017298843416998964
256.243243,109.70930567507438,0.4691881482323511,0.003487660577323862,92.34634529975763,1.7836859954305349,0.003443397631142597,75.74424210763986,-6.03022784459715,0.017141859058727504
256.256757,109.78499084444034,0.45896735059707683,0.003487660577323862,92.03487945896188,1.8649964065729931,0.003443397631142597,75.59169279661957,-6.309617924557874,0.017141859058727504
256.27027,109.84060068361869,0.45958613286128047,0.003492777219066596,91.72656663816403,1.9323674180008696,0.0034452312311783187,75.44460631706359,-6.586545405082165,0.017145745212456744
256.283784,109.88267712286769,0.4746486725970869,0.003492777219066596,91.42265593967619,1.985825288949249,0.0034452312311783187,75.30326198090276,-6.857874004382894,0.017145745212456744
256.297297,109.9189388473845,0.5086077624691454,0.003492157210929169,91.12505435189415,2.0264991770280223,0.0034460405612026213,75.1629736698034,-7.1306390312135814,0.017164868094362986
256.310811,109.95505899417815,0.5669554934206903,0.003492157210929169,90.83673397772934,2.0568622284495053,0.0034460405612026213,75.01764536665458,-7.415830588743427,0.017164868094362986
256.324324,109.99128882545082,0.6554665993553943,0.003491282204113855,90.56121376501387,2.0810965636757004,0.00344623579454432,74.86497423505082,-7.717783054466126,0.017173890020037507
