,multi_windowing_periods,guessing_periods,predicting_period
260,0.0847009999997681,0.005342100004781969,0.002645400003530085
261,0.07258210000873078,0.006214200009708293,0.002003000001423061
262,0.08305999998992775,0.0032435000030091032,0.003919700000551529
263,0.0852803000016138,0.0032266999915009364,0.0039662000053795055
264,0.07926079999015201,0.005862599995452911,0.0018404000002192333
265,0.08416009999928065,0.005797500009066425,0.0016884999931789935
266,0.07329780000145547,0.00519749999511987,0.001643700001295656
267,0.06981099999393336,0.0055044000037014484,0.0017149000050267205
268,0.07709049999539275,0.005505199995241128,0.002085599990095943
269,0.07700569998996798,0.0027335000049788505,0.004400299992994405
270,0.07590529999288265,0.005264599996735342,0.0016349000070476905
271,0.0885091999953147,0.005339499999536201,0.002078499994240701
272,0.07142679998651147,0.004933800009894185,0.0032986000005621463
273,0.1048031000100309,0.009649400002672337,0.003267799998866394
274,0.09895259999029804,0.00577829999383539,0.0017659000004641712
275,0.07320279999112245,0.005611400003544986,0.0016309000056935474
276,0.0817378999927314,0.006116699994890951,0.0017869000002974644
277,0.10988809999253135,0.0036478999973041937,0.005399499990744516
278,0.09456969999882858,0.003555600007530302,0.004039300009026192
279,0.08353150000039022,0.004722500001662411,0.0022121000074548647
280,0.07822090000263415,0.004346699992311187,0.002820499998051673
281,0.0730282000004081,0.0054392000020015985,0.0016916000022320077
282,0.09361969999736175,0.0028355999966152012,0.0017253999976674095
283,0.07465040001261514,0.003248399996664375,0.003994600003352389
284,0.08629809999547433,0.005893499997910112,0.00155050000466872
285,0.09007330000167713,0.0053084999963175505,0.0020558999967761338
286,0.08531570000923239,0.006252799998037517,0.0016294999950332567
287,0.09449880001193378,0.0034893999982159585,0.0035607000027084723
288,0.07456809999712277,0.004698999997344799,0.0023474000045098364
289,0.08432219999667723,0.006212699998286553,0.0015611999988323078
290,0.1071453000040492,0.002904199995100498,0.0016449999966425821
291,0.07592440000735223,0.0037429000076372176,0.001606499994522892
292,0.07740660000126809,0.004077000005054288,0.0038573000056203455
293,0.07305639999685809,0.005932500003837049,0.0018176000012317672
294,0.07161670000641607,0.004247599994414486,0.0018333000043639913
295,0.08131549999234267,0.004438100004335865,0.002217100001871586
296,0.07662839999829885,0.006437900010496378,0.0016552999877603725
297,0.1200100999994902,0.003340000010211952,0.00144160000490956
298,0.08084890000463929,0.006338499995763414,0.0015506000054301694
299,0.09114469999622088,0.00405069999396801,0.0018619000038597733
300,0.12519890000112355,0.006873999998788349,0.0017719000024953857
301,0.10737499999231659,0.006275799998547882,0.005011699991882779
302,0.07976389999384992,0.0033691999997245148,0.0034807999909389764
303,0.07196950000070501,0.004978699987987056,0.004920399995171465
304,0.08105790000990964,0.0028135999891674146,0.0013993000029586256
305,0.07597419999365229,0.0034124000085284933,0.003577800001949072
306,0.08244179999746848,0.002807800003211014,0.0016183000116143376
307,0.0935040000040317,0.004289000004064292,0.0030190999968908727
308,0.08175440000195522,0.0032845999958226457,0.0017361000063829124
309,0.07571889999962877,0.0033613999985391274,0.004240499998559244
310,0.09309370000846684,0.003994600003352389,0.002036299993051216
311,0.07913170001120307,0.004979400007869117,0.0034084000071743503
312,0.08108519999950659,0.004115500007173978,0.002195900000515394
313,0.09867819999635685,0.0042818999936571345,0.0016564000106882304
314,0.07577790001232643,0.0034082999918609858,0.0017285000067204237
315,0.0975235999940196,0.0037183000094955787,0.0017611000075703487
316,0.10110339999664575,0.002849700002116151,0.0017325000080745667
317,0.0862941000086721,0.0033364999981131405,0.0017191000079037622
318,0.08048600000620354,0.0027723000093828887,0.0015407999890157953
319,0.0693506000097841,0.0032064000115497038,0.0016419000021414831
320,0.07871610000438523,0.003754100005608052,0.0015998000017134473
321,0.07990749999589752,0.004009399999631569,0.002488800004357472
322,0.09061460000521038,0.004209499995340593,0.0021512000093935058
323,0.09794019999390002,0.006706600004690699,0.0020234999974491075
324,0.11235579999629408,0.0042889999895123765,0.0020625000033760443
325,0.08177259999501985,0.005033599998569116,0.0021006999886594713
326,0.09406620000663679,0.003922100004274398,0.001613599990378134
327,0.07808880000084173,0.006077400001231581,0.001648000004934147
328,0.08454989999881946,0.005197999998927116,0.0013850999966962263
329,0.07169129999238066,0.004997500000172295,0.0033950000070035458
330,0.09250510000856593,0.003276999996160157,0.00160090001008939
331,0.07492959999945015,0.004919800005154684,0.0028030999965267256
332,0.06699350000417326,0.0039757999911671504,0.001887600010377355
333,0.07721499999752268,0.0058748999872477725,0.0045230999967316166
334,0.07237690000329167,0.0033022999996319413,0.0046058999869273975
335,0.07599360001040623,0.005271400004858151,0.0016959000058704987
336,0.0983118000003742,0.008818899994366802,0.0017507000011391938
337,0.0898346999892965,0.005046700011007488,0.004909499999484979
338,0.08614689999376424,0.0032833000004757196,0.0039779000071575865
339,0.09100420000322629,0.0065737999975681305,0.0018660999921848997
340,0.08257889999367762,0.0056219000107375905,0.001993899990338832
341,0.12192560000403319,0.00287209999805782,0.0015834999940125272
342,0.07544980000238866,0.0033038999972632155,0.0033334999898215756
343,0.09511860000202432,0.003337900008773431,0.001906199991935864
344,0.08617619999859016,0.005301299999700859,0.0015959000011207536
345,0.08419579999463167,0.004581499990308657,0.0027314000035403296
346,0.09030630000052042,0.0031181000085780397,0.0013632000045618042
347,0.07018009999592323,0.005874299997230992,0.001869500003522262
348,0.09049630000663456,0.004101899990928359,0.0018020999996224418
349,0.08453589999407995,0.004941499995766208,0.0019447999948170036
350,0.08784940000623465,0.0033936999971047044,0.0015342999977292493
351,0.08317399999941699,0.005831000002217479,0.0020404999959282577
352,0.08484630000020843,0.005103200004668906,0.0019477000023471192
353,0.09766049998870585,0.004106599997612648,0.003080399997998029
354,0.09063929998956155,0.0074093999864999205,0.0020678000000771135
355,0.09922910000022966,0.003308700004708953,0.0015850999916438013
356,0.09491759999946225,0.007360699994023889,0.0020668000070145354
357,0.08154480000666808,0.006374699994921684,0.0016501000063726678
358,0.08923789999971632,0.0029525999998440966,0.001628600002732128
359,0.09603179999976419,0.003005000005941838,0.0030623999919043854
360,0.07254869998723734,0.004097999990335666,0.004276299994671717
361,0.07665489999635611,0.006937199999811128,0.0016243999998550862
362,0.0828518000053009,0.0046652000019093975,0.0031405999907292426
363,0.08832109998911619,0.006886599992867559,0.0015540000022156164
364,0.08071259999996983,0.005549499997869134,0.002303600005689077
365,0.09629279999353457,0.005422999995062128,0.005116899992572144
366,0.09142630000133067,0.0031337999971583486,0.0016016000008676201
367,0.103959499989287,0.0031559999915771186,0.0019415000133449212
368,0.0826837000058731,0.005314800000633113,0.0017829999997047707
369,0.11158620000060182,0.006106999993789941,0.0016342999879270792
370,0.08824800000002142,0.004533600003924221,0.0016336999979102984
371,0.08812609998858534,0.003733500008820556,0.00163050000264775
372,0.09488119999878109,0.004209400009131059,0.0030913999944459647
373,0.08543859999917913,0.0034362000005785376,0.004447700004675426
374,0.09597749999375083,0.002766899997368455,0.0029759000026388094
375,0.08222359999490436,0.0029414000018732622,0.0018156000005546957
376,0.10216140000557061,0.011306599990348332,0.0027599000022746623
377,0.08764519999385811,0.00797989999409765,0.0020535999938147143
378,0.09321979999367613,0.007385299992165528,0.0016253000067081302
379,0.07231280000996776,0.00711320000118576,0.002077800003462471
380,0.08328110000002198,0.006489699997473508,0.0019900000042980537
381,0.08488160000706557,0.006248699995921925,0.001857899987953715
382,0.07943309999245685,0.0035579999967012554,0.0031530999985989183
383,0.07309570000506938,0.0033533999958308414,0.0036007999879075214
384,0.08163520001107827,0.0027145000058226287,0.001590800005942583
385,0.0697197999979835,0.005514100004802458,0.0018810999899869785
386,0.0931300999945961,0.005149500007973984,0.005640899995341897
