time_s,roll_sensor1,pitch_sensor1,emg_rms_sensor1,roll_sensor2,pitch_sensor2,emg_rms_sensor2,roll_sensor3,pitch_sensor3,emg_rms_sensor3,labels
31.621622,110.70568221823112,-3.138261600614608,0.0044935084720846,90.84146774447676,7.6107631687408785,0.0041190994957702,73.58078933717351,-3.568642803010056,0.0251036233155849,Single-leg support phase
31.635135,110.80366305497202,-3.023399101304426,0.0044935084720846,90.49887896052986,7.541026108901863,0.0041190994957702,73.41768211784351,-3.901617898851311,0.0251036233155849,Single-leg support phase
31.648649,110.90462843678571,-2.8806556024898726,0.0044959764929058,90.1721444236175,7.470701009246025,0.0041213126317598,73.25252890680892,-4.245554200068713,0.0250542388000825,Single-leg support phase
31.662162,110.9971936763954,-2.71770310510283,0.0044959764929058,89.86306325029997,7.401376314395211,0.0041213126317598,73.08561036735033,-4.599499404027,0.0250542388000825,Single-leg support phase
31.675676,111.06671705554008,-2.5521652561405688,0.0044948757644151,89.57161847084208,7.333598657924174,0.0041220612375194,72.91652960888567,-4.962018800649623,0.0250481231800221,Single-leg support phase
31.689189,111.09988214253032,-2.4056155385387545,0.0044948757644151,89.29638503183074,7.2671697481030675,0.0041220612375194,72.74437535806743,-5.3312697051495,0.0250481231800221,Single-leg support phase
31.702703,111.08494475541922,-2.2922046366179427,0.0044940566781233,89.03489399200006,7.201527111101151,0.0041221855517775,72.56865455689497,-5.705299771166125,0.0250505892104039,Single-leg support phase
31.716216,111.01202118989156,-2.2114330828013213,0.0044940566781233,88.78390701454084,7.136423774662236,0.0041221855517775,72.38896032886478,-6.084714565405958,0.0250505892104039,Single-leg support phase
31.72973,110.874478556873,-2.1484984086800183,0.0044937747091507,88.53986032601519,7.072612090125091,0.004122164050575,72.20407973458393,-6.475011818077177,0.0250524805806255,Single-leg support phase
31.743243,110.66897523759526,-2.0801778791205816,0.0044937747091507,88.29981458267604,7.011849408773963,0.004122164050575,72.0133353036946,-6.882478961226036,0.0250524805806255,Single-leg support phase
31.756757,110.39223660444024,-1.9821032955908904,0.0045035385107058,88.06258132493609,6.956186766329351,0.0041339033961876,71.81896457235277,-7.307128836579324,0.0249953057288334,Single-leg support phase
31.77027,110.03377621385626,-1.8331305041170989,0.0045035385107058,87.82928032466026,6.907020331217029,0.0041339033961876,71.62535544615871,-7.743142448618541,0.0249953057288334,Single-leg support phase
31.783784,109.57179519631792,-1.618133589854512,0.00570061687813,87.60305724009997,6.864415186298519,0.0046992088949396,71.43575401272263,-8.185461518615687,0.0219218711152948,Single-leg support phase
31.797297,108.98461399365632,-1.3334618501607522,0.00570061687813,87.38808218925325,6.827119562876264,0.0046992088949396,71.2507970106659,-8.631944850527733,0.0219218711152948,Single-leg support phase
31.810811,108.26891271226616,-0.9910297605192622,0.0054371442119253,87.18830749715183,6.793125632602536,0.0046506369547651,71.06961575615048,-9.080118502308991,0.0221151105158552,Single-leg support phase
31.824324,107.44058254950978,-0.6128998630746473,0.0054371442119253,87.00663488085918,6.760276718549882,0.0046506369547651,70.89113239261799,-9.525743435807616,0.0221151105158552,Single-leg support phase
31.837838,106.52020836107468,-0.2206391167846249,0.0054113220923211,86.84466100585495,6.726745449089585,0.0046394723875267,70.7144326494011,-9.96569035024078,0.0221949919361949,Single-leg support phase
31.851351,105.52631239702346,0.1691817390550232,0.0054113220923211,86.70280578010552,6.691473884927648,0.0046394723875267,70.53855145446344,-10.402780336889816,0.0221949919361949,Single-leg support phase
31.864865,104.47961245493656,0.5429853406341301,0.0054210863149251,86.58088346302847,6.654302623539748,0.0046378421326137,70.3623046703908,-10.848372385736289,0.0222185353793686,Single-leg support phase
31.878378,103.40387973474914,0.888808774055265,0.0054210863149251,86.47939563624233,6.615253789959126,0.0046378421326137,70.18465612640686,-11.31837576518388,0.0222185353793686,Single-leg support phase
31.891892,102.32027886243364,1.197253381356994,0.0054287475570629,86.4011251510062,6.573484779117255,0.0046382527030631,70.00477971605346,-11.825606094763636,0.0222214511390069,Single-leg support phase
31.905405,101.24324090770952,1.4620695184359775,0.0054287475570629,86.35208418048428,6.527159097688375,0.0046382527030631,69.82024316184061,-12.37607637041442,0.0222214511390069,Single-leg support phase
31.918919,100.1810591134869,1.6796992898549052,0.0054314543363867,86.34114954450158,6.474309125036106,0.004638637583086,69.62446421056534,-12.969756368316636,0.022220277202063,Single-leg support phase
31.932432,99.1385959842527,1.8490330171270677,0.0054314543363867,86.37809640405352,6.41385976486519,0.004638637583086,69.40647582540988,-13.60084356164396,0.022220277202063,Single-leg support phase
31.945946,98.11930106837792,1.971735987556569,0.0054707639846428,86.47140731809009,6.346062810002542,0.004642218503145,69.15388851755226,-14.258770224412862,0.0220659358718786,Single-leg support phase
31.959459,97.12512169979878,2.05259570285525,0.0054707639846428,86.62821104128123,6.271851031827344,0.004642218503145,68.85816716184716,-14.93627807609758,0.0220659358718786,Single-leg support phase
31.972973,96.15533604726056,2.099443413780264,0.0070754610348873,86.85495439414063,6.1914073169229376,0.0053407649292316,68.51945719701892,-15.639961795980597,0.0130589306318362,Single-leg support phase
31.986486,95.20641909434237,2.12232572745025,0.0070754610348873,87.15475691807616,6.102555846756084,0.0053407649292316,68.14711834958545,-16.390180106122223,0.0130589306318362,Single-leg support phase
32.0,94.27319475421022,2.132024547527044,0.0069835829906067,87.5240865449539,6.0001678744761735,0.0050954475396945,67.75692555979529,-17.210960755220384,0.0142202018307432,Single-leg support phase
32.013514,93.35027482259908,2.1384678976549525,0.0069835829906067,87.95625216644247,5.878380592365062,0.0050954475396945,67.36962714909264,-18.12176388089257,0.0142202018307432,
32.027027,92.43320393134228,2.149291603774365,0.0069436501689673,88.4498271757625,5.734117984944303,0.0050738539198801,67.01089155609414,-19.135229429149938,0.0144327638720402,Dual-thrust phase
32.040541,91.51916061523472,2.168455198968414,0.0069436501689673,89.01302917481824,5.567836326840554,0.0050738539198801,66.70843350122281,-20.25755751934022,0.0144327638720402,Dual-thrust phase
32.054054,90.6071974500178,2.195310727334539,0.0069314289632375,89.66107268081713,5.381691214155141,0.0050849275342606,66.48470589218324,-21.490048105667704,0.0144395159429109,Dual-thrust phase
32.067568,89.69804085689312,2.2249324947852336,0.0069314289632375,90.40889097263911,5.178765427071349,0.0050849275342606,66.34633085447919,-22.833070013029,0.0144395159429109,Dual-thrust phase
32.081081,88.79355961821956,2.2496708443026083,0.0069297392388091,91.26343984891048,4.963816537245689,0.0050927708134271,66.2743650220648,-24.28575810952218,0.0144196189192598,Dual-thrust phase
32.094595,87.89606513708996,2.2611337072962603,0.0069297392388091,92.21994291605178,4.743168808650048,0.0050927708134271,66.22137917639706,-25.82837529438292,0.0144196189192598,Dual-thrust phase
32.108108,87.0080357828614,2.2515863167342447,0.0069302614866511,93.2627012934544,4.523420464893339,0.0050954205289942,66.11795166400772,-27.402463142849296,0.0144090195359296,Dual-thrust phase
32.121622,86.13312771828537,2.2138463343973536,0.0069302614866511,94.36861267401196,4.31074034839643,0.0050954205289942,65.88779041886818,-28.92486194024956,0.0144090195359296,Dual-thrust phase
32.135135,85.27726516655365,2.1408547539113623,0.0069391615198534,95.51206048004228,4.11120705959777,0.0051596941431706,65.46647788182393,-30.32634883034516,0.0143511976311919,Dual-thrust phase
32.148649,84.44718060750581,2.0274758237280888,0.0069391615198534,96.67046163530524,3.931096147372773,0.0051596941431706,64.81712995369949,-31.570381586068304,0.0143511976311919,Dual-thrust phase
32.162162,83.64699284044939,1.873158474188904,0.0074040693529503,97.828815522149,3.7763046126471287,0.0088977969901922,63.93944637316399,-32.645227979076374,0.0119476910592041,Dual-thrust phase
32.175676,82.87581662161398,1.6813214876917333,0.0074040693529503,98.9809795022947,3.650733826746074,0.0088977969901922,62.87010924876581,-33.55521778284447,0.0119476910592041,Dual-thrust phase
32.189189,82.12933138977942,1.457500144976415,0.0073622411999016,100.1272821193865,3.554508063798928,0.0084351492079697,61.67388947532263,-34.31860507997143,0.0121033743061467,Dual-thrust phase
32.202703,81.40771718295547,1.212689043615664,0.0073622411999016,101.26953111681044,3.4834029085184155,0.0084351492079697,60.42714238629144,-34.96091811654084,0.0121033743061467,Dual-thrust phase
32.216216,80.72174634877535,0.9678078829263616,0.0073514210664409,102.40729752836278,3.430322073837315,0.008342145772929,59.20027588126924,-35.50338484321478,0.0121563896280032,Dual-thrust phase
32.22973,80.08187617445367,0.7478550949443106,0.0073514210664409,103.54091086998864,3.3894066663806792,0.008342145772929,58.04755710816172,-35.9576720161086,0.0121563896280032,Dual-thrust phase
32.243243,79.48127105840277,0.569612527588326,0.0073495246892658,104.676920097869,3.3603007750690144,0.0083355605347117,57.00631897891705,-36.32993328924076,0.0121702320525899,Dual-thrust phase
32.256757,78.90231131792753,0.4376512252125467,0.0073495246892658,105.82505966429814,3.347844137098374,0.0083355605347117,56.103369588943394,-36.62824872875615,0.0121702320525899,Dual-thrust phase
32.27027,78.3392415752451,0.3494570625935136,0.007349769116844,106.99038128842125,3.3581885934789453,0.0083424721628497,55.36244034297458,-36.86749013140656,0.0121712926723305,Dual-thrust phase
32.283784,77.80155898545274,0.300057027655627,0.007349769116844,108.17512442146828,3.3966555443883237,0.0083424721628497,54.80434866259856,-37.06794363397063,0.0121712926723305,Dual-thrust phase
32.297297,77.29777794384496,0.2833092645080081,0.0073501010434457,109.38611918509328,3.4677966048686497,0.0083466247565473,54.442060398060384,-37.25034083841705,0.0121702776347047,Dual-thrust phase
32.310811,76.82790496874338,0.2925813306606454,0.0073501010434457,110.62905419708132,3.5742337035966893,0.0083466247565473,54.28048477338649,-37.43332747124629,0.0121702776347047,Dual-thrust phase
32.324324,76.38999705958932,0.3217090315870727,0.0073502375961717,111.89485533515855,3.714382669183225,0.0083479070770533,54.32075259371521,-37.63293005983632,0.0121696601580493,
32.337838,75.9852350646778,0.365362305185928,0.0073502375961717,113.16205605115098,3.881981990042917,0.0083479070770533,54.56031067534031,-37.85922486109349,0.0121696601580493,Swing phase
